"","X","device_info_serial","ID","season","year","ID.season","userflag","type.day","region","latitude","longitude","date_time","datetime.r","date.r","date","time","datetime","speed.inst","speed.class","sunrise","sunset","daynight","counter.up","counter.down","dtime","ddist","speed","time.class","lat.Start","long.Start","lat.End","long.End","progressie.start","progressie.start.ddist","progressie.start.speed","dtime.min","progressie.start.speed.km.min","progressie.end","departure","start","arrival","end","depart.arrival","depart.arrival2","interupt.cnt","interupt.code"
"1",82388,686,"JanGerard","autumn",2012,"JanGerard_autumn_2012",0,"Migration.travel.depart","Europe",52.7698026,7.0524051,"2012-08-19 00:56:53","2012-08-19 00:56:53","2012-08-19",231,0.948055555555556,231.039502314815,0.416824671255603,"sit",3.7105674517272,19.4453368284806,"dark",1,61,0,0,0,1,52.7698026,7.0524051,51.6703778,6.2465981,0,0,0,60,0.0166666666666667,134.156789284892,"not.started",0,"not.arrived",0,"not.started","resting",0,"resting 0 231"
"2",82389,686,"JanGerard","autumn",2012,"JanGerard_autumn_2012",0,"Migration.travel.depart","Europe",52.7698055,7.0523492,"2012-08-19 01:56:53","2012-08-19 01:56:53","2012-08-19",231,1.94805555555556,231.081168981481,2.19078198937334,"fly",3.71057099751752,19.4453407316437,"dark",2,60,0.999999999999773,0.00378666593226514,0.00105185164785167,2,52.7698026,7.0524051,51.6703778,6.2465981,0.00378666593226514,0.00378666593226514,0.003786665932266,59.9999999999864,6.31110988711e-05,134.155515053036,"not.started",0,"not.arrived",0,"not.started","foraging",0,"foraging 0 231"
"3",82390,686,"JanGerard","autumn",2012,"JanGerard_autumn_2012",0,"Migration.travel.depart","Europe",52.7698026,7.0523906,"2012-08-19 02:57:26","2012-08-19 02:57:26","2012-08-19",231,2.95722222222222,231.123217592593,0.0918416257528268,"sit",3.71056841966371,19.4453377935584,"dark",3,59,1.00916666666672,0.00281280707826256,0.000774238116780189,3,52.7698026,7.0524051,51.6703778,6.2465981,0.000978656382135069,-0.00280800955013007,-0.00278250327015353,60.5500000000029,-4.63750545025588e-05,134.156382608955,"not.started",0,"not.arrived",0,"not.started","resting",0,"resting 0 231"
"4",82391,686,"JanGerard","autumn",2012,"JanGerard_autumn_2012",0,"Migration.travel.depart","Europe",52.7697709,7.0524183,"2012-08-19 03:57:26","2012-08-19 03:57:26","2012-08-19",231,3.95722222222222,231.164884259259,1.05621112532733,"sit",3.71056860100964,19.4453339539204,"light",4,58,0.999999999999773,0.00399245720949165,0.00110901589152571,4,52.7698026,7.0524051,51.6703778,6.2465981,0.00363842786689085,0.00265977148475578,0.00265977148475638,59.9999999999864,4.43295247459397e-05,134.153950860589,"not.started",0,"not.arrived",0,"not.started","resting",0,"resting 0 231"
"5",82392,686,"JanGerard","autumn",2012,"JanGerard_autumn_2012",0,"Migration.travel.depart","Europe",52.7756733,7.045295,"2012-08-19 04:57:27","2012-08-19 04:57:27","2012-08-19",231,4.9575,231.2065625,0.150149461596154,"sit",3.71066598625191,19.4461797732782,"light",5,57,1.00027777777768,0.813970737350401,0.226040193654673,5,52.7698026,7.0524051,51.6703778,6.2465981,0.810598970584286,0.806960542717395,0.806736449259344,60.016666666661,0.0134456074876557,134.553514301049,"not.started",0,"not.arrived",0,"not.started","resting",0,"resting 0 231"
"6",82393,686,"JanGerard","autumn",2012,"JanGerard_autumn_2012",0,"Migration.travel.depart","Europe",52.7754842,7.0464088,"2012-08-19 05:58:02","2012-08-19 05:58:02","2012-08-19",231,5.96722222222222,231.248634259259,0.193320012615858,"sit",3.71060375214265,19.4460937305795,"light",6,56,1.00972222222254,0.0780545447745328,0.0214730522075677,6,52.7698026,7.0524051,51.6703778,6.2465981,0.750685314306097,-0.0599136562781887,-0.0593367710045151,60.5833333333521,-0.000988946183408585,134.565217356483,"not.started",0,"not.arrived",0,"not.started","resting",0,"resting 0 231"
"7",82394,686,"JanGerard","autumn",2012,"JanGerard_autumn_2012",0,"Migration.travel.depart","Europe",52.7751432,7.0469926,"2012-08-19 06:12:54","2012-08-19 06:12:54","2012-08-19",231,6.215,231.258958333333,3.95052276530778,"fly",3.7105866298738,19.4460333961848,"light",7,55,0.247777777777856,0.0547009202034633,0.0613239015733701,6,52.7698026,7.0524051,51.6703778,6.2465981,0.697600829252992,-0.0530844850531045,-0.214242316357753,14.8666666666713,-0.00357070527262922,134.546837206421,"not.started",0,"not.arrived",0,"not.started","foraging",0,"foraging 0 231"
"8",82395,686,"JanGerard","autumn",2012,"JanGerard_autumn_2012",0,"Migration.travel.depart","Europe",52.7740846,7.0486852,"2012-08-19 06:28:05","2012-08-19 06:28:05","2012-08-19",231,6.46805555555556,231.269502314815,0.543104359964201,"sit",3.7105414664094,19.4458540670134,"light",8,54,0.25305555555542,0.16409014457473,0.180120905131524,6,52.7698026,7.0524051,51.6703778,6.2465981,0.53860401133099,-0.158996817922002,-0.628307952271694,15.1833333333252,-0.0104717992045282,134.486572363735,"not.started",0,"not.arrived",0,"not.started","resting",0,"resting 0 231"
"9",82396,686,"JanGerard","autumn",2012,"JanGerard_autumn_2012",0,"Migration.travel.depart","Europe",52.7747644,7.0476915,"2012-08-19 06:43:20","2012-08-19 06:43:20","2012-08-19",231,6.72222222222222,231.280092592593,0.436879536287694,"sit",3.71056424567977,19.4459630206495,"light",9,53,0.254166666666379,0.101094700596669,0.110486011581184,7,52.7698026,7.0524051,51.6703778,6.2465981,0.637247291819661,0.0986432804886703,0.388104710119798,15.2499999999827,0.00646841183532997,134.527844197175,"not.started",0,"not.arrived",0,"not.started","resting",0,"resting 0 231"
"10",82397,686,"JanGerard","autumn",2012,"JanGerard_autumn_2012",0,"Migration.travel.depart","Europe",52.774716,7.0476759,"2012-08-19 06:58:38","2012-08-19 06:58:38","2012-08-19",231,6.97722222222222,231.290717592593,0.0427806347545472,"sit",3.71056838802678,19.445961010565,"light",10,52,0.255000000000109,0.00548801953519028,0.00597823478778641,7,52.7698026,7.0524051,51.6703778,6.2465981,0.633116252735141,-0.00413103908451951,-0.0162001532726186,15.3000000000065,-0.000270002554543643,134.522502707402,"not.started",0,"not.arrived",0,"not.started","resting",0,"resting 0 231"
