"","X","device_info_serial","ID","season","year","ID.season","userflag","type.day","region","latitude","longitude","date_time","datetime.r","date.r","date","time","datetime","speed.inst","speed.class","sunrise","sunset","daynight","counter.up","counter.down","dtime","ddist","speed","time.class","lat.Start","long.Start","lat.End","long.End","progressie.start","progressie.start.ddist","progressie.start.speed","dtime.min","progressie.start.speed.km.min","progressie.end","departure","start","arrival","end","depart.arrival","depart.arrival2","interupt.cnt","interupt.code"
"1",5140,686,"JanGerard","spring",2013,"JanGerard_spring_2013",0,"Migration.travel.depart","Africa",12.4169204,-7.7817418,"2013-03-29 00:49:26","2013-03-29 00:49:26","2013-03-29",87,0.823888888888889,87.0343287037037,0.486169771534599,"sit",6.136509735859,19.0601766256235,"dark",1,62,0,0,0,0,12.4169204,-7.7817418,13.7639139,-8.4022041,0,0,0,60,0.0166666666666667,163.504071774755,"not.started",0,"not.arrived",0,"not.started","resting",0,"resting 0 87"
"2",5141,686,"JanGerard","spring",2013,"JanGerard_spring_2013",0,"Migration.travel.depart","Africa",12.4168991,-7.781746,"2013-03-29 01:49:27","2013-03-29 01:49:27","2013-03-29",87,1.82416666666667,87.0760069444444,1.17703889609942,"sit",6.13651014021588,19.0601767758832,"dark",2,61,1.00027777777768,0.00240015269003347,0.000666523935027407,1,12.4169204,-7.7817418,13.7639139,-8.4022041,0.00240015269003347,0.00240015269003347,0.00239948616609867,60.016666666661,3.99914361016444e-05,163.506033074313,"not.started",0,"not.arrived",0,"not.started","resting",0,"resting 0 87"
"3",5142,686,"JanGerard","spring",2013,"JanGerard_spring_2013",0,"Migration.travel.depart","Africa",12.4168983,-7.7817275,"2013-03-29 02:49:56","2013-03-29 02:49:56","2013-03-29",87,2.83222222222222,87.1180092592593,0.117682540168622,"sit",6.13650891212093,19.0601755376281,"dark",3,60,1.00805555555542,0.00201349627278653,0.000554835015923617,2,12.4169204,-7.7817418,13.7639139,-8.4022041,0.00289735201304306,0.000497199323009591,0.000493226112657695,60.4833333333249,8.22043521096158e-06,163.506939324827,"not.started",0,"not.arrived",0,"not.started","resting",0,"resting 0 87"
"4",5143,686,"JanGerard","spring",2013,"JanGerard_spring_2013",0,"Migration.travel.depart","Africa",12.4168036,-7.781758,"2013-03-29 03:49:58","2013-03-29 03:49:58","2013-03-29",87,3.83277777777778,87.1596990740741,0.458718778547258,"sit",6.13651149797633,19.0601769941685,"dark",4,59,1.00055555555559,0.0109885303977081,0.00305067473562123,3,12.4169204,-7.7817418,13.7639139,-8.4022041,0.0130404852623342,0.0101431332492911,0.0101375013041218,60.0333333333356,0.000168958355068696,163.515131637113,"not.started",0,"not.arrived",0,"not.started","resting",0,"resting 0 87"
"5",5144,686,"JanGerard","spring",2013,"JanGerard_spring_2013",0,"Migration.travel.depart","Africa",12.4168243,-7.7817875,"2013-03-29 04:49:58","2013-03-29 04:49:58","2013-03-29",87,4.83277777777778,87.2013657407407,2.54760093414249,"fly",6.13651334276842,19.0601790870086,"dark",5,58,1.00000000000011,0.00394111704942058,0.00109475473595004,4,12.4169204,-7.7817418,13.7639139,-8.4022041,0.0117349875400162,-0.00130549772231799,-0.00130549772231784,60.0000000000068,-2.1758295371964e-05,163.511727120882,"not.started",0,"not.arrived",0,"not.started","foraging",0,"foraging 0 87"
"6",5145,686,"JanGerard","spring",2013,"JanGerard_spring_2013",0,"Migration.travel.depart","Africa",12.4168267,-7.7817621,"2013-03-29 05:49:58","2013-03-29 05:49:58","2013-03-29",87,5.83277777777778,87.2430324074074,0.238312617603553,"sit",6.13651163618492,19.0601774082279,"dark",6,57,1.00000000000011,0.00277453692645897,0.000770704701794071,5,12.4169204,-7.7817418,13.7639139,-8.4022041,0.0105979399552496,-0.00113704758476662,-0.00113704758476649,60.0000000000068,-1.89507930794415e-05,163.512618352662,"not.started",0,"not.arrived",0,"not.started","resting",0,"resting 0 87"
"7",5146,686,"JanGerard","spring",2013,"JanGerard_spring_2013",0,"Migration.travel.depart","Africa",12.4168265,-7.7817788,"2013-03-29 06:05:38","2013-03-29 06:05:38","2013-03-29",87,6.09388888888889,87.253912037037,0.263911545482921,"sit",6.13651275017715,19.0601785203871,"dark",7,56,0.261111111111063,0.00181596733677255,0.00193188014550307,5,12.4169204,-7.7817418,13.7639139,-8.4022041,0.0111394980578262,0.000541558102576689,0.00207405230774089,15.6666666666638,3.45675384623482e-05,163.511893371453,"not.started",0,"not.arrived",0,"not.started","resting",0,"resting 0 87"
"8",5147,686,"JanGerard","spring",2013,"JanGerard_spring_2013",0,"Migration.travel.depart","Africa",12.4168277,-7.7817839,"2013-03-29 06:20:37","2013-03-29 06:20:37","2013-03-29",87,6.34361111111111,87.2643171296296,0.638310865627766,"sit",6.13651308300856,19.0601788677105,"light",8,55,0.249722222222204,0.000570203155249698,0.000634263798942982,5,12.4169204,-7.7817418,13.7639139,-8.4022041,0.011230200114583,9.0702056756764e-05,0.00036321179568896,14.9833333333322,6.05352992814933e-06,163.511544754523,"not.started",0,"not.arrived",0,"not.started","resting",0,"resting 0 87"
"9",5148,686,"JanGerard","spring",2013,"JanGerard_spring_2013",0,"Migration.travel.depart","Africa",12.4139521,-7.768327,"2013-03-29 06:35:33","2013-03-29 06:35:33","2013-03-29",87,6.5925,87.2746875,0.44749702023738,"sit",6.13563317103499,19.0592641893982,"light",9,54,0.248888888888814,1.49738968673516,1.67119384680314,6,12.4169204,-7.7817418,13.7639139,-8.4022041,1.49513519881191,1.48390499869732,5.96211829833925,14.9333333333288,0.0993686383056542,164.406456591149,"not.started",0,"not.arrived",0,"not.started","resting",0,"resting 0 87"
"10",5149,686,"JanGerard","spring",2013,"JanGerard_spring_2013",0,"Migration.travel.depart","Africa",12.4143052,-7.7672927,"2013-03-29 06:50:29","2013-03-29 06:50:29","2013-03-29",87,6.84138888888889,87.2850578703704,NA,"unknown",6.13556218574109,19.0591973841084,"light",10,53,0.248888888888814,0.11905342357973,0.132872124530988,6,12.4169204,-7.7817418,13.7639139,-8.4022041,1.59750760522483,0.102372406412924,0.411317704337765,14.9333333333288,0.00685529507229608,164.41789017708,"not.started",0,"not.arrived",0,"not.started","resting",0,"resting 0 87"
