"","X","device_info_serial","ID","season","year","ID.season","userflag","type.day","region","latitude","longitude","date_time","datetime.r","date.r","date","time","datetime","speed.inst","speed.class","sunrise","sunset","daynight","counter.up","counter.down","dtime","ddist","speed","time.class","lat.Start","long.Start","lat.End","long.End","progressie.start","progressie.start.ddist","progressie.start.speed","dtime.min","progressie.start.speed.km.min","progressie.end","departure","start","arrival","end","depart.arrival","depart.arrival2","interupt.cnt","interupt.code"
"1",7879,685,"Jannie","spring",2014,"Jannie_spring_2014",0,"Migration.travel.depart","Africa",13.6755618,-5.7678434,"2014-04-03 01:00:38","2014-04-03 01:00:38","2014-04-03",92,1.01055555555556,92.0421064814815,0.015243022561024,"sit",5.94003122856161,18.9414850553698,"dark",1,87,0,0,0,0,13.6755618,-5.7678434,15.6799375,-6.4691685,0,0,0,60,0.0166666666666667,234.284267500524,"not.started",0,"not.arrived",0,"not.started","resting",0,"resting 0 92"
"2",7880,685,"Jannie","spring",2014,"Jannie_spring_2014",0,"Migration.travel.depart","Africa",13.6752447,-5.7685593,"2014-04-03 03:00:34","2014-04-03 03:00:34","2014-04-03",92,3.00944444444444,92.1253935185185,0.122440523591175,"sit",5.94008158608451,18.941530052293,"dark",2,86,1.99888888888893,0.0850239533012699,0.0118154465399205,2,13.6755618,-5.7678434,15.6799375,-6.4691685,0.0850239533012699,0.0850239533012699,0.042535607543714,119.933333333336,0.000708926792395233,234.292650591701,"not.started",0,"not.arrived",0,"not.started","resting",0,"resting 0 92"
"3",7881,685,"Jannie","spring",2014,"Jannie_spring_2014",0,"Migration.travel.depart","Africa",13.6752343,-5.7685642,"2014-04-03 05:01:08","2014-04-03 05:01:08","2014-04-03",92,5.01888888888889,92.2091203703704,0.0819686545377378,"sit",5.94008199962905,18.9415302893428,"dark",3,85,2.0094444444444,0.00126684748929055,0.000175124065425848,4,13.6755618,-5.7678434,15.6799375,-6.4691685,0.0859855780815266,0.000961624780256687,0.000478552558601625,120.566666666664,7.97587597669374e-06,234.293570491863,"not.started",0,"not.arrived",0,"not.started","resting",0,"resting 0 92"
"4",7882,685,"Jannie","spring",2014,"Jannie_spring_2014",0,"Migration.travel.depart","Africa",13.6752288,-5.768563,"2014-04-03 05:10:58","2014-04-03 05:10:58","2014-04-03",92,5.18277777777778,92.2159490740741,0.0883246044967471,"sit",5.94008196569411,18.9415301619314,"dark",4,84,0.163888888888891,0.000622189675222837,0.00105455877156411,4,13.6755618,-5.7678434,15.6799375,-6.4691685,0.0861263873734577,0.00014080929193111,0.00085917534059659,9.83333333333348,1.43195890099432e-05,234.294188485745,"not.started",0,"not.arrived",0,"not.started","resting",0,"resting 0 92"
"5",7883,685,"Jannie","spring",2014,"Jannie_spring_2014",0,"Migration.travel.depart","Africa",13.6752368,-5.7685637,"2014-04-03 05:20:51","2014-04-03 05:20:51","2014-04-03",92,5.3475,92.2228125,0.270184567668715,"sit",5.94008194538807,18.9415302775556,"dark",5,83,0.164722222222281,0.000888318550066175,0.00149800767296098,4,13.6755618,-5.7678434,15.6799375,-6.4691685,0.085820277885931,-0.000306109487526726,-0.00185833752967255,9.88333333333685,-3.09722921612092e-05,234.293325848436,"not.started",0,"not.arrived",0,"not.started","resting",0,"resting 0 92"
"6",7884,685,"Jannie","spring",2014,"Jannie_spring_2014",0,"Migration.travel.depart","Africa",13.6752418,-5.7685478,"2014-04-03 05:30:43","2014-04-03 05:30:43","2014-04-03",92,5.51194444444444,92.2296643518519,0.249491916860322,"sit",5.94008084405275,18.9415292605755,"dark",6,82,0.164444444444371,0.00180688327250735,0.00305216769004757,5,13.6755618,-5.7678434,15.6799375,-6.4691685,0.0840269268169158,-0.00179335106901519,-0.0109055132575297,9.86666666666224,-0.000181758554292162,234.293353393721,"not.started",0,"not.arrived",0,"not.started","resting",0,"resting 0 92"
"7",7885,685,"Jannie","spring",2014,"Jannie_spring_2014",0,"Migration.travel.depart","Africa",13.6752381,-5.7685492,"2014-04-03 05:40:35","2014-04-03 05:40:35","2014-04-03",92,5.67638888888889,92.2365162037037,0.440689999282697,"sit",5.94008096830764,18.9415293220242,"dark",7,81,0.164444444444371,0.000436471596128993,0.000737283101569575,5,13.6755618,-5.7678434,15.6799375,-6.4691685,0.0843373147278185,0.000310387910902724,0.00188749405278768,9.86666666666224,3.1458234213128e-05,234.293692571066,"not.started",0,"not.arrived",0,"not.started","resting",0,"resting 0 92"
"8",7886,685,"Jannie","spring",2014,"Jannie_spring_2014",0,"Migration.travel.depart","Africa",13.6752298,-5.7685515,"2014-04-03 05:50:27","2014-04-03 05:50:27","2014-04-03",92,5.84083333333333,92.2433680555555,0.736831212068057,"sit",5.94008119102383,18.9415294038288,"dark",8,80,0.164444444444371,0.000951388810061391,0.00160707569267199,5,13.6755618,-5.7678434,15.6799375,-6.4691685,0.0849556147230341,0.000618299995215565,0.00375993240333958,9.86666666666224,6.26655400556597e-05,234.294482585066,"not.started",0,"not.arrived",0,"not.started","resting",0,"resting 0 92"
"9",7887,685,"Jannie","spring",2014,"Jannie_spring_2014",0,"Migration.travel.depart","Africa",13.67526,-5.7685535,"2014-04-03 06:00:19","2014-04-03 06:00:19","2014-04-03",92,6.00527777777778,92.2502199074074,0.45930719407354,"sit",5.94008107156713,18.9415297974736,"light",9,79,0.164444444444712,0.00334819351233602,0.00565573228434219,5,13.6755618,-5.7678434,15.6799375,-6.4691685,0.0837637824514035,-0.00119183227163056,-0.00724762867882268,9.8666666666827,-0.000120793811313711,234.29124842077,"not.started",0,"not.arrived",0,"not.started","resting",0,"resting 0 92"
"10",7888,685,"Jannie","spring",2014,"Jannie_spring_2014",0,"Migration.travel.depart","Africa",13.6752914,-5.768949,"2014-04-03 06:10:11","2014-04-03 06:10:11","2014-04-03",92,6.16972222222222,92.2570717592593,0.735903012168167,"sit",5.94010716288132,18.9415564366835,"light",10,78,0.164444444444371,0.0429275602090331,0.0725127706233993,5,13.6755618,-5.7678434,15.6799375,-6.4691685,0.123292469511946,0.0395286870605422,0.240377151043945,9.86666666666224,0.00400628585073242,234.274242428946,"not.started",0,"not.arrived",0,"not.started","resting",0,"resting 0 92"
