"","X","device_info_serial","ID","season","year","ID.season","userflag","type.day","region","latitude","longitude","date_time","datetime.r","date.r","date","time","datetime","speed.inst","speed.class","sunrise","sunset","daynight","counter.up","counter.down","dtime","ddist","speed","time.class","lat.Start","long.Start","lat.End","long.End","progressie.start","progressie.start.ddist","progressie.start.speed","dtime.min","progressie.start.speed.km.min","progressie.end","departure","start","arrival","end","depart.arrival","depart.arrival2","interupt.cnt","interupt.code"
"1",7868,679,"Ronny","autumn",2013,"Ronny_autumn_2013",0,"Migration.travel.depart","Europe",52.6788241,8.6812559,"2013-08-06 00:52:38","2013-08-06 00:52:38","2013-08-06",217,0.877222222222222,217.036550925926,0.223606797749979,"sit",3.19117418019386,19.8258652722889,"dark",1,36,0,0,0,1,52.6788241,8.6812559,52.0398884,7.7092713,0,0,0,60,0.0166666666666667,97.15623123798,"not.started",0,"not.arrived",0,"not.started","resting",0,"resting 0 217"
"2",7869,679,"Ronny","autumn",2013,"Ronny_autumn_2013",0,"Migration.travel.depart","Europe",52.6788549,8.6812447,"2013-08-06 01:52:34","2013-08-06 01:52:34","2013-08-06",217,1.87611111111111,217.078171296296,0.241867732448956,"sit",3.1911722948442,19.8258686120595,"dark",2,35,0.998888888888814,0.0035101686204597,0.00097613142949387,2,52.6788241,8.6812559,52.0398884,7.7092713,0.0035101686204597,0.0035101686204597,0.00351407314617793,59.9333333333288,5.85678857696322e-05,97.158203628039,"not.started",0,"not.arrived",0,"not.started","resting",0,"resting 0 217"
"3",7870,679,"Ronny","autumn",2013,"Ronny_autumn_2013",0,"Migration.travel.depart","Europe",52.6787712,8.6813192,"2013-08-06 02:52:33","2013-08-06 02:52:33","2013-08-06",217,2.87583333333333,217.119826388889,5.94254154381776,"fly",3.19117447692295,19.8258566028645,"dark",3,34,0.999722222222545,0.0105897948164262,0.00294242701206524,3,52.6788241,8.6812559,52.0398884,7.7092713,0.0072789472007704,0.0037687785803107,0.00376982575413008,59.9833333333527,6.28304292355013e-05,97.154889724438,"not.started",0,"not.arrived",0,"not.started","foraging",0,"foraging 0 217"
"4",7871,679,"Ronny","autumn",2013,"Ronny_autumn_2013",0,"Migration.travel.depart","Europe",52.679927,8.6769057,"2013-08-06 03:52:35","2013-08-06 03:52:35","2013-08-06",217,3.87638888888889,217.161516203704,9.80809869444634,"fly",3.19137028599026,19.8262477562787,"light",4,33,1.00055555555559,0.325030457915743,0.0902361071392923,4,52.6788241,8.6812559,52.0398884,7.7092713,0.318790709090187,0.311511761889416,0.311338795891687,60.0333333333356,0.00518897993152811,97.0439766089091,"not.started",0,"not.arrived",0,"not.started","foraging",0,"foraging 0 217"
"5",7872,679,"Ronny","autumn",2013,"Ronny_autumn_2013",0,"Migration.travel.depart","Europe",52.6975315,8.6630541,"2013-08-06 04:53:08","2013-08-06 04:53:08","2013-08-06",217,4.88555555555556,217.203564814815,0.131529464379659,"sit",3.19078902210428,19.8286535573512,"light",5,32,1.00916666666672,2.1714409223015,0.597699125323808,5,52.6788241,8.6812559,52.0398884,7.7092713,2.4184060947224,2.09961538563221,2.08054373473042,60.5500000000029,0.0346757289121736,97.8530382909976,"not.started",0,"not.arrived",0,"not.started","resting",0,"resting 0 217"
"6",7873,679,"Ronny","autumn",2013,"Ronny_autumn_2013",0,"Migration.travel.depart","Europe",52.6917954,8.6941687,"2013-08-06 05:53:06","2013-08-06 05:53:06","2013-08-06",217,5.885,217.245208333333,1.80277563773199,"sit",3.18920286329033,19.8260986807617,"light",6,31,0.999444444443952,2.19836028705729,0.610995077003437,6,52.6788241,8.6812559,52.0398884,7.7092713,1.68703556297763,-0.731370531744765,-0.731777074564328,59.9666666666371,-0.0121962845760721,98.8059079989371,"not.started",0,"not.arrived",0,"not.started","resting",0,"resting 0 217"
"7",7874,679,"Ronny","autumn",2013,"Ronny_autumn_2013",0,"Migration.travel.depart","Europe",52.6933371,8.6937891,"2013-08-06 06:23:39","2013-08-06 06:23:39","2013-08-06",217,6.39416666666667,217.266423611111,0.174928556845359,"sit",3.18909629125653,19.8262539179296,"light",7,30,0.50916666666717,0.173471723833775,0.0946381472087306,6,52.6788241,8.6812559,52.0398884,7.7092713,1.82390060797656,0.136865044998928,0.268802052370788,30.5500000000302,0.0044800342061798,98.9136047734021,"not.started",0,"not.arrived",0,"not.started","resting",0,"resting 0 217"
"8",7875,679,"Ronny","autumn",2013,"Ronny_autumn_2013",0,"Migration.travel.depart","Europe",52.6933277,8.6937716,"2013-08-06 06:53:36","2013-08-06 06:53:36","2013-08-06",217,6.89333333333333,217.287222222222,1.11157545852722,"sit",3.18909826376441,19.8262542904014,"light",8,29,0.499166666666497,0.00157929803232587,0.000878852549986872,7,52.6788241,8.6812559,52.0398884,7.7092713,1.82242458403545,-0.00147602394111224,-0.0029569761758519,29.9499999999898,-4.92829362641983e-05,98.912032603525,"not.started",0,"not.arrived",0,"not.started","resting",0,"resting 0 217"
"9",7876,679,"Ronny","autumn",2013,"Ronny_autumn_2013",0,"Migration.travel.depart","Europe",52.6954162,8.6871654,"2013-08-06 07:23:29","2013-08-06 07:23:29","2013-08-06",217,7.39138888888889,217.307974537037,0.125299640861417,"sit",3.18936053502184,19.8268701389093,"light",9,28,0.498055555555538,0.503495238898126,0.280811622363716,7,52.6788241,8.6812559,52.0398884,7.7092713,1.88913836515762,0.0667137811221727,0.133948472972577,29.8833333333323,0.00223247454954295,98.7779732540225,"not.started",0,"not.arrived",0,"not.started","resting",0,"resting 0 217"
"10",7877,679,"Ronny","autumn",2013,"Ronny_autumn_2013",0,"Migration.travel.depart","Europe",52.6951756,8.6862835,"2013-08-06 07:53:36","2013-08-06 07:53:36","2013-08-06",217,7.89333333333333,217.328888888889,1.69387130561917,"sit",3.18943999525431,19.8269085590909,"light",10,27,0.501944444444234,0.0653597427435925,0.0361703058902157,8,52.6788241,8.6812559,52.0398884,7.7092713,1.85110364226728,-0.0380347228903453,-0.0757747661346432,30.1166666666541,-0.00126291276891072,98.7178257017452,"not.started",0,"not.arrived",0,"not.started","resting",0,"resting 0 217"
"11",7878,679,"Ronny","autumn",2013,"Ronny_autumn_2013",0,"Migration.travel.depart","Europe",52.6820326,8.6738234,"2013-08-06 08:23:30","2013-08-06 08:23:30","2013-08-06",217,8.39166666666667,217.349652777778,9.69676750262684,"fly",3.19139601552349,19.8266303140923,"light",11,26,0.498333333333449,1.68789308120426,0.940854560314306,8,52.6788241,8.6812559,52.0398884,7.7092713,0.616571679029277,-1.234531963238,-2.47732166535996,29.9000000000069,-0.0412886944226661,97.072751947721,"not.started",0,"not.arrived",0,"not.started","foraging",0,"foraging 0 217"
"12",7879,679,"Ronny","autumn",2013,"Ronny_autumn_2013",0,"Migration.travel.depart","Europe",52.6742554,8.6427387,"2013-08-06 08:53:21","2013-08-06 08:53:21","2013-08-06",217,8.88916666666667,217.370381944444,6.91758628424684,"fly",3.19413585457978,19.8280445510612,"light",12,25,0.497499999999718,2.27358286343674,1.26944883497377,9,52.6788241,8.6812559,52.0398884,7.7092713,2.65435849491746,2.03778681588819,4.09605390128511,29.8499999999831,0.0682675650214185,95.0111527054252,"not.started",0,"not.arrived",0,"not.started","foraging",0,"foraging 0 217"
"13",7880,679,"Ronny","autumn",2013,"Ronny_autumn_2013",0,"Migration.travel.depart","Europe",52.65883,8.5631343,"2013-08-06 09:23:47","2013-08-06 09:23:47","2013-08-06",217,9.39638888888889,217.391516203704,5.73341957299481,"fly",3.20076736384297,19.8320454828999,"light",13,24,0.507222222222481,5.65243230140891,3.09552699967471,9,52.6788241,8.6812559,52.0398884,7.7092713,8.29485030529208,5.64049181037462,11.1203562526497,30.4333333333489,0.185339270877494,90.1584980448676,"started",1,"not.arrived",0,"travelling","migrate",0,"migrate 0 217"
"14",7881,679,"Ronny","autumn",2013,"Ronny_autumn_2013",0,"Migration.travel.depart","Europe",52.6058784,8.5605988,"2013-08-06 09:54:08","2013-08-06 09:54:08","2013-08-06",217,9.90222222222222,217.412592592593,5.7799653978203,"fly",3.20544972088435,19.827767530496,"light",14,23,0.505833333333612,5.89496849147409,3.23721498707899,10,52.6788241,8.6812559,52.0398884,7.7092713,11.5151113468478,3.2202610415557,6.36624917605388,30.3500000000167,0.106104152934231,85.6480998284226,"started",0,"not.arrived",0,"travelling","migrate",0,"migrate 0 217"
"15",7882,679,"Ronny","autumn",2013,"Ronny_autumn_2013",0,"Migration.travel.depart","Europe",52.5482847,8.5392217,"2013-08-06 10:26:33","2013-08-06 10:26:33","2013-08-06",217,10.4425,217.435104166667,10.9728984320461,"fly",3.21176806555797,19.8243710146572,"light",15,22,0.540277777777419,6.57078102416012,3.37829358568868,11,52.6788241,8.6812559,52.0398884,7.7092713,17.4233581174311,5.90824677058328,10.9355724288504,32.4166666666451,0.182259540480839,80.0406879528974,"started",0,"not.arrived",0,"travelling","migrate",0,"migrate 0 217"
"16",7883,679,"Ronny","autumn",2013,"Ronny_autumn_2013",0,"Migration.travel.depart","Europe",52.5052885,8.4950219,"2013-08-06 10:56:50","2013-08-06 10:56:50","2013-08-06",217,10.9472222222222,217.456134259259,4.18044256030387,"fly",3.2183583905733,19.8237268299113,"light",16,21,0.504722222222654,5.64716911932719,3.10796319170191,11,52.6788241,8.6812559,52.0398884,7.7092713,23.0693338250919,5.64597570766079,11.1863029981076,30.2833333333592,0.186438383301793,74.5551328697459,"started",0,"not.arrived",0,"travelling","migrate",0,"migrate 0 217"
"17",7884,679,"Ronny","autumn",2013,"Ronny_autumn_2013",0,"Migration.travel.depart","Europe",52.4976404,8.4882407,"2013-08-06 11:26:41","2013-08-06 11:26:41","2013-08-06",217,11.4447222222222,217.476863425926,11.9361384040233,"fly",3.21945745853485,19.8235413079128,"light",17,20,0.497499999999718,0.967659644329718,0.540290142004615,12,52.6788241,8.6812559,52.0398884,7.7092713,24.0339061007419,0.964572275650021,1.93883874502627,29.8499999999831,0.0323139790837711,73.6348936166574,"started",0,"not.arrived",0,"travelling","interupt",1,"interupt 1 217"
"18",7885,679,"Ronny","autumn",2013,"Ronny_autumn_2013",0,"Migration.travel.depart","Europe",52.5021408,8.481089,"2013-08-06 11:56:37","2013-08-06 11:56:37","2013-08-06",217,11.9436111111111,217.497650462963,2.14,"fly",3.21955452895041,19.8243921523446,"light",18,19,0.498888888888587,0.697619465448424,0.388429546463723,12,52.6788241,8.6812559,52.0398884,7.7092713,23.8868687455741,-0.147037355167754,-0.294729665147124,29.9333333333152,-0.0049121610857854,73.6301525201855,"started",0,"not.arrived",0,"travelling","interupt",1,"interupt 1 217"
"19",7886,679,"Ronny","autumn",2013,"Ronny_autumn_2013",0,"Migration.travel.depart","Europe",52.4983096,8.475044,"2013-08-06 12:26:56","2013-08-06 12:26:56","2013-08-06",217,12.4488888888889,217.518703703704,0.334215499341368,"sit",3.22028183041506,19.8244755228267,"light",19,18,0.505277777777792,0.591841412253193,0.325366361876403,13,52.6788241,8.6812559,52.0398884,7.7092713,24.4709616891088,0.584092943534724,1.15598383547276,30.3166666666675,0.0192663972578793,73.038701767761,"started",0,"not.arrived",0,"travelling","interupt",1,"interupt 1 217"
"20",7887,679,"Ronny","autumn",2013,"Ronny_autumn_2013",0,"Migration.travel.depart","Europe",52.4919127,8.4710032,"2013-08-06 12:57:15","2013-08-06 12:57:15","2013-08-06",217,12.9541666666667,217.539756944444,4.76422081772035,"fly",3.22109199943167,19.8242119905804,"light",20,17,0.505277777777792,0.762904108280788,0.419408525717849,13,52.6788241,8.6812559,52.0398884,7.7092713,25.2129281849055,0.741966495796689,1.4684328668873,30.3166666666675,0.0244738811147884,72.3475406820516,"started",0,"not.arrived",0,"travelling","interupt",1,"interupt 1 217"
"21",7888,679,"Ronny","autumn",2013,"Ronny_autumn_2013",0,"Migration.travel.depart","Europe",52.4414122,8.4443535,"2013-08-06 13:27:38","2013-08-06 13:27:38","2013-08-06",217,13.4605555555556,217.560856481481,13.8066795428879,"fly",3.22712966965415,19.821789573429,"light",21,16,0.506388888889433,5.90420223718451,3.2387285996589,14,52.6788241,8.6812559,52.0398884,7.7092713,30.9204776251789,5.70754944027334,11.271079530972,30.383333333366,0.1878513255162,67.2116734477094,"started",0,"not.arrived",0,"travelling","migrate",1,"migrate 1 217"
"22",7889,679,"Ronny","autumn",2013,"Ronny_autumn_2013",0,"Migration.travel.depart","Europe",52.3421518,8.4095976,"2013-08-06 13:58:57","2013-08-06 13:58:57","2013-08-06",217,13.9825,217.582604166667,NA,"unknown",3.23778057740177,19.8158938593868,"light",22,15,0.521944444444216,11.2958526863206,6.01162995546864,14,52.6788241,8.6812559,52.0398884,7.7092713,41.758083879385,10.8376062542061,20.7639076717185,31.316666666653,0.346065127861975,58.5216719264704,"started",0,"not.arrived",0,"travelling","migrate",1,"migrate 1 217"
"23",7890,679,"Ronny","autumn",2013,"Ronny_autumn_2013",0,"Migration.travel.depart","Europe",52.2427161,8.3362115,"2013-08-06 14:29:38","2013-08-06 14:29:38","2013-08-06",217,14.4938888888889,217.603912037037,6.71359814108649,"fly",3.25097241571492,19.8126065098293,"light",23,14,0.511388888889087,12.1447929495678,6.59684570861655,15,52.6788241,8.6812559,52.0398884,7.7092713,53.8986062092048,12.1405223298198,23.7402935292419,30.6833333333452,0.395671558820699,48.4928313632253,"started",0,"not.arrived",0,"travelling","migrate",1,"migrate 1 217"
